Steigerungsfaktor; Gegenstandswert ; Gebühr ;
;300,00;26,00;
;600,00;47,00;
;900,00;68,00;
;1.200,00;89,00;
;1.500,00;110,00;
;2.000,00;140,00;
;2.500,00;169,00;
;3.000,00;198,00;
;3.500,00;228,00;
;4.000,00;257,00;
;4.500,00;287,00;
;5.000,00;316,00;
;6.000,00;355,00;
;7.000,00;394,00;
;8.000,00;433,00;
;9.000,00;471,00;
;10.000,00;510,00;
;13.000,00;552,00;
;16.000,00;594,00;
;19.000,00;636,00;
;22.000,00;678,00;
;25.000,00;720,00;
;30.000,00;796,00;
;35.000,00;872,00;
;40.000,00;947,00;
;45.000,00;1023,00;
;50.000,00;1098,00;
;65.000,00;1179,00;
;80.000,00;1260,00;
;95.000,00;1341,00;
;110.000,00;1422,00;
;125.000,00;1503,00;
;140.000,00;1583,00;
;155.000,00;1664,00;
;170.000,00;1745,00;
;185.000,00;1826,00;
;200.000,00;1907,00;
;230.000,00;2031,00;
;260.000,00;2155,00;
;290.000,00;2279,00;
;320.000,00;2402,00;
;350.000,00;2526,00;
;380.000,00;2650,00;
;410.000,00;2774,00;
;440.000,00;2898,00;
;470.000,00;3022,00;
;500.000,00;3146,00;
50.000,00;999.999.999.999,00;158,00;
